evaluation_set,statistic,chunker,noise_level,metric,estimate,ci_95_low,ci_95_high,bootstrap_iterations,seed
primary,absolute_degradation,structure,mild,hit_at_5,0.02637183666229248,0.01844841241836548,0.03417688608169556,5000,20260913
primary,absolute_degradation,structure,mild,mrr_at_100,0.026443541049957275,0.01943836808204651,0.03326301425695419,5000,20260913
primary,absolute_degradation,structure,moderate,hit_at_1,0.04848632216453552,0.037961214780807495,0.058656543493270874,5000,20260913
primary,absolute_degradation,structure,moderate,hit_at_5,0.041745543479919434,0.03334909677505493,0.04990541934967041,5000,20260913
primary,absolute_degradation,structure,moderate,mrr_at_100,0.043108582496643066,0.03567223697900772,0.050282621383666994,5000,20260913
primary,absolute_degradation,structure,severe,hit_at_1,0.06137657165527344,0.0508514940738678,0.07166507840156555,5000,20260913
primary,absolute_degradation,structure,severe,hit_at_5,0.05759227275848389,0.0488381028175354,0.06610691547393799,5000,20260913
primary,absolute_degradation,structure,severe,mrr_at_100,0.057806432247161865,0.04999107867479324,0.06552579551935196,5000,20260913
primary,degradation_difference_vs_fixed,recursive,mild,hit_at_1,0.013718069531023502,0.0010643601417541504,0.026135266572237015,5000,20260913
primary,degradation_difference_vs_fixed,recursive,mild,hit_at_5,0.014309365302324295,0.004609133303165437,0.02412787377834316,5000,20260913
primary,degradation_difference_vs_fixed,recursive,mild,mrr_at_100,0.012132604606449604,0.0034272417426109317,0.020775625109672527,5000,20260913
primary,degradation_difference_vs_fixed,recursive,moderate,hit_at_1,0.016674550250172615,0.0034295320510864258,0.02991953566670418,5000,20260913
primary,degradation_difference_vs_fixed,recursive,moderate,hit_at_5,0.020695364102721214,0.010170280933380127,0.03145996183156963,5000,20260913
primary,degradation_difference_vs_fixed,recursive,moderate,mrr_at_100,0.016393087804317474,0.007294118404388428,0.02588616013526916,5000,20260913
primary,degradation_difference_vs_fixed,recursive,severe,hit_at_1,0.014664143323898315,0.0017739228904247284,0.02767563313245769,5000,20260913
primary,degradation_difference_vs_fixed,recursive,severe,hit_at_5,0.01655629277229309,0.006146515905857087,0.02719956636428833,5000,20260913
primary,degradation_difference_vs_fixed,recursive,severe,mrr_at_100,0.015603836625814438,0.006328113377094269,0.02492920756340026,5000,20260913
primary,degradation_difference_vs_fixed,semantic,mild,hit_at_1,-0.016438031569123268,-0.02861875295639038,-0.004257319867610932,5000,20260913
primary,degradation_difference_vs_fixed,semantic,mild,hit_at_5,-0.008632923476397991,-0.01785719394683838,0.000591278076171875,5000,20260913
primary,degradation_difference_vs_fixed,semantic,mild,mrr_at_100,-0.011830205097794533,-0.020322459936141967,-0.003695394098758698,5000,20260913
primary,degradation_difference_vs_fixed,semantic,moderate,hit_at_1,-0.0007095541805028915,-0.01348152831196785,0.012535452842712402,5000,20260913
primary,degradation_difference_vs_fixed,semantic,moderate,hit_at_5,-0.00047303736209869385,-0.010643304884433746,0.009815514087677002,5000,20260913
primary,degradation_difference_vs_fixed,semantic,moderate,mrr_at_100,-0.00015757977962493896,-0.00900595188140869,0.008847036957740757,5000,20260913
primary,degradation_difference_vs_fixed,semantic,severe,hit_at_1,0.0030747391283512115,-0.009697258472442627,0.015846670418977738,5000,20260913
primary,degradation_difference_vs_fixed,semantic,severe,hit_at_5,0.008278146386146545,-0.00201040655374527,0.01845142692327495,5000,20260913
primary,degradation_difference_vs_fixed,semantic,severe,mrr_at_100,0.003702037036418915,-0.0050527647137641905,0.012547743320465083,5000,20260913
primary,degradation_difference_vs_fixed,structure,mild,hit_at_1,0.017147589474916458,0.004020868986845017,0.030156106501817704,5000,20260913
primary,degradation_difference_vs_fixed,structure,mild,hit_at_5,0.018448438495397568,0.007923364639282227,0.028737008571624756,5000,20260913
primary,degradation_difference_vs_fixed,structure,mild,mrr_at_100,0.013696515001356602,0.004584839940071106,0.022565728425979613,5000,20260913
primary,degradation_difference_vs_fixed,structure,moderate,hit_at_1,0.020340586081147194,0.006504296511411667,0.033703864365816114,5000,20260913
primary,degradation_difference_vs_fixed,structure,moderate,hit_at_5,0.02093188278377056,0.009933769702911377,0.03216648250818253,5000,20260913
primary,degradation_difference_vs_fixed,structure,moderate,mrr_at_100,0.01765557751059532,0.007973916828632355,0.02682668417692184,5000,20260913
primary,degradation_difference_vs_fixed,structure,severe,hit_at_1,0.015610218048095703,0.0014190971851348877,0.028385197371244387,5000,20260913
primary,degradation_difference_vs_fixed,structure,severe,hit_at_5,0.017620626837015152,0.006504237651824951,0.028500497341156006,5000,20260913
primary,degradation_difference_vs_fixed,structure,severe,mrr_at_100,0.01463853195309639,0.004679197072982788,0.02386807501316068,5000,20260913
